DISTRICT,CS_NONPROF_ASSET,FISCALYR,CS_NONPROF_FUNC,CS_NONPROF_OBJ,FIN_UNIT,CS_NONPROF_PGMIN,ACTAMT,DTUPDATE
165802,211,2009,00,5929,000,00,225704,08MAR2010
165802,211,2009,11,6119,101,30,158810,08MAR2010
165802,211,2009,11,6141,101,11,-44,08MAR2010
165802,211,2009,11,6141,101,30,2251,08MAR2010
165802,211,2009,11,6142,101,30,14969,08MAR2010
165802,211,2009,11,6145,101,30,185,08MAR2010
165802,211,2009,11,6146,101,30,13052,08MAR2010
165802,211,2009,11,6239,101,30,13000,08MAR2010
165802,211,2009,11,6399,101,30,9399,08MAR2010
165802,211,2009,33,6119,101,30,11929,08MAR2010
165802,211,2009,33,6141,101,30,159,08MAR2010
165802,211,2009,33,6142,101,30,1014,08MAR2010
165802,211,2009,33,6145,101,30,10,08MAR2010
165802,211,2009,33,6146,101,30,970,08MAR2010
165802,224,2009,00,5929,000,00,90119,08MAR2010
165802,224,2009,11,6119,101,23,64995,08MAR2010
165802,224,2009,11,6129,101,23,6533,08MAR2010
165802,224,2009,11,6141,101,23,918,08MAR2010
165802,224,2009,11,6142,101,23,6993,08MAR2010
165802,224,2009,11,6145,101,23,97,08MAR2010
165802,224,2009,11,6146,101,23,4111,08MAR2010
165802,224,2009,11,6299,101,23,729,08MAR2010
165802,224,2009,11,6399,101,23,5650,08MAR2010
165802,224,2009,11,6499,101,23,92,08MAR2010
165802,240,2009,00,3600,000,00,73509,08MAR2010
165802,240,2009,00,5742,000,00,30,08MAR2010
165802,240,2009,00,5751,000,00,54447,08MAR2010
165802,240,2009,00,5829,000,00,1800,08MAR2010
165802,240,2009,00,5921,000,00,34899,08MAR2010
165802,240,2009,00,5922,000,00,121222,08MAR2010
165802,240,2009,35,6129,101,99,56841,08MAR2010
165802,240,2009,35,6141,101,99,1575,08MAR2010
165802,240,2009,35,6142,101,99,7986,08MAR2010
165802,240,2009,35,6145,101,99,136,08MAR2010
165802,240,2009,35,6146,101,99,3589,08MAR2010
165802,240,2009,35,6341,101,99,116150,08MAR2010
165802,240,2009,35,6342,101,99,4514,08MAR2010
165802,240,2009,35,6399,101,99,6900,08MAR2010
165802,240,2009,35,6411,101,99,649,08MAR2010
165802,240,2009,71,6523,101,99,2,08MAR2010
165802,255,2009,00,5929,000,00,44113,08MAR2010
165802,255,2009,11,6119,101,24,3664,08MAR2010
165802,255,2009,11,6141,101,24,50,08MAR2010
165802,255,2009,11,6142,101,24,357,08MAR2010
165802,255,2009,11,6146,101,24,291,08MAR2010
165802,255,2009,13,6221,101,99,6874,08MAR2010
165802,255,2009,13,6239,101,21,53,08MAR2010
165802,255,2009,13,6239,101,99,10416,08MAR2010
165802,255,2009,13,6299,101,99,605,08MAR2010
165802,255,2009,13,6399,999,99,90,08MAR2010
165802,255,2009,13,6411,101,24,21712,08MAR2010
165802,262,2009,00,5929,000,00,2012,08MAR2010
165802,262,2009,53,6399,101,99,2012,08MAR2010
165802,265,2009,00,3600,000,00,16343,08MAR2010
165802,265,2009,00,5929,000,00,99000,08MAR2010
165802,265,2009,11,6119,101,24,53602,08MAR2010
165802,265,2009,11,6129,101,24,10657,08MAR2010
