CDCN,Campus Name,CDN,Charter,Site Street Address,Site City,Site Zip5,Address,Enrollment,Grade,Latitude,Longitude,Phone,Website,ObjectId,x,y
057829001,A+ ACADEMY EL,057829,A+ ACADEMY,10327 RYLIE RD,DALLAS,"75,217","10327 RYLIE RD, DALLAS, TX 75217",857,PK KG 01 02 03 04 05 06,32.69,-96.64,(972) 557-5578,www.rylieffa.com,1,-10758390.688490324,3854299.8697219235
057829002,A+ SECONDARY SCHOOL,057829,A+ ACADEMY,445 S MASTERS DR,DALLAS,"75,217","445 S MASTERS DR, DALLAS, TX 75217",694,07 08 09 10 11 12,32.71,-96.65,(972) 557-5578,www.rylieffa.com,2,-10759096.02214233,3856374.8511078195
101871102,A+ UNLIMITED POTENTIAL - UNIVERSITY,101871,A+ UNLIMITED POTENTIAL,2410 HAMILTON,HOUSTON,"77,004","2410 HAMILTON, HOUSTON, TX 77004",145,06 07 08,29.74,-95.37,(713) 204-3837,www.aplusup.org,3,-10616269.47530721,3470473.029398347
101810002,ACADEMY OF ACCELERATED LEARNING,101810,ACADEMY OF ACCELERATED LEARNING INC,6711 BELLFORT ST,HOUSTON,"77,087","6711 BELLFORT ST, HOUSTON, TX 77087",Less than 5,PK KG 01 02 03 04 05 06 07 08,29.67,-95.31,(713) 645-0336,www.aalinc.org,4,-10609969.074879818,3460912.140220034
057810101,ACADEMY OF DALLAS,057810,ACADEMY OF DALLAS,2324 S VERNON AVE,DALLAS,"75,224","2324 S VERNON AVE, DALLAS, TX 75224",245,PK KG 01 02 03 04 05 06 07 08,32.69,-96.84,(214) 371-9600,www.aalinc.org,5,-10780054.554556096,3853977.115058833
101849041,ACCELERATED INT CHARTER SCHOOL,101849,ACCELERATED INTERMEDIATE ACADEMY,12825 SUMMIT RDG DR,HOUSTON,"77,085","12825 SUMMIT RDG DR, HOUSTON, TX 77085",15,07 08,29.63,-95.48,(713) 728-9330,www.aiacharterschools.org,6,-10629243.171965865,3456067.659971472
101849101,ACCELERATED INTERDISCIPLINARY ACAD,101849,ACCELERATED INTERMEDIATE ACADEMY,12825 SUMMIT RDG DR,HOUSTON,"77,085","12825 SUMMIT RDG DR, HOUSTON, TX 77085",199,PK KG 01 02 03 04 05 06,29.64,-95.49,(713) 728-9330,www.aiacharterschools.org,7,-10629383.67831395,3456936.1595524596
057806101,ADVANTAGE ACADEMY,057806,ADVANTAGE ACADEMY,955 FREETOWN RD,GRAND PRAIRIE,"75,051","955 FREETOWN RD, GRAND PRAIRIE, TX 75051","1,138",PK KG 01 02 03 04 05 06 07 08 09 10 11 12,32.71,-97.02,(214) 276-5800,www.advantageacademy.org,8,-10799913.894940676,3857320.8834023396
101815101,ALIEF MONTESSORI COMMUNITY SCHOOL,101815,ALIEF MONTESSORI COMMUNITY SCHOOL,12013 6TH ST,HOUSTON,"77,072","12013 6TH ST, HOUSTON, TX 77072",349,EE PK KG 01 02 03 04 05 06,29.71,-95.59,(281) 530-9406,www.aliefmontessori.org,9,-10641129.693534365,3466737.624181922
221801011,AMARILLO COLLEGIATE ACADEMY,221801,TEXAS COLLEGE PREPARATORY ACADEMIES,6000 S GEORGIA,AMARILLO,"79,119","6000 S GEORGIA, AMARILLO, TX 79119",461,PK KG 01 02 03 04 05 06 07 08 09 10 11 12,35.15,-101.87,(806) 367-5447,www.responsiveed.com,10,-11339688.069522664,4183916.7179128374
